model,group,accuracy_mean,accuracy_std,correct_mean,total_mean,missing_mean,valid_runs,total_runs
gpt_oss_120b,BO,0.7520000000000001,0.00748331477354789,376.0,500.0,0.0,3,3
gpt_oss_120b,BY,0.6753333333333335,0.00659966329107445,337.6666666666667,500.0,0.0,3,3
gpt_oss_120b,LO,0.7120000000000001,0.011430952132988175,356.0,500.0,0.0,3,3
gpt_oss_120b,LY,0.6753333333333335,0.0037712361663282566,337.6666666666667,500.0,0.0,3,3
gpt_oss_120b,WO,0.7440000000000001,0.0043204937989385775,372.0,500.0,0.0,3,3
gpt_oss_120b,WY,0.6706666666666666,0.007363574011458181,335.3333333333333,500.0,0.0,3,3
mistral_medium,BO,0.7646666666666667,0.005734883511361756,382.3333333333333,500.0,0.0,3,3
mistral_medium,BY,0.6753333333333335,0.0041096093353126546,337.6666666666667,500.0,0.0,3,3
mistral_medium,LO,0.7073333333333333,0.0041096093353126546,353.6666666666667,500.0,0.0,3,3
mistral_medium,LY,0.6919999999999998,0.0016329931618554536,346.0,500.0,0.0,3,3
mistral_medium,WO,0.7486666666666667,0.004988876515698593,374.3333333333333,500.0,0.0,3,3
mistral_medium,WY,0.6746666666666666,0.0033993463423951926,337.3333333333333,500.0,0.0,3,3
qwen3_32b,BO,0.766,0.0043204937989385775,383.0,500.0,0.0,3,3
qwen3_32b,BY,0.656,0.007118052168020881,328.0,500.0,0.0,3,3
qwen3_32b,LO,0.706,0.011775681155103806,353.0,500.0,0.0,3,3
qwen3_32b,LY,0.6846666666666668,0.004109609335312607,342.3333333333333,500.0,0.0,3,3
qwen3_32b,WO,0.7373333333333333,0.008379870059984364,368.6666666666667,500.0,0.0,3,3
qwen3_32b,WY,0.674,0.0065319726474218145,337.0,500.0,0.0,3,3
