model,run,group,accuracy,correct,total,missing
gpt_oss_120b,r1,BO,0.744,372,500,0
gpt_oss_120b,r1,BY,0.668,334,500,0
gpt_oss_120b,r1,LO,0.706,353,500,0
gpt_oss_120b,r1,LY,0.678,339,500,0
gpt_oss_120b,r1,WO,0.746,373,500,0
gpt_oss_120b,r1,WY,0.67,335,500,0
mistral_medium,r1,BO,0.772,386,500,0
mistral_medium,r1,BY,0.68,340,500,0
mistral_medium,r1,LO,0.708,354,500,0
mistral_medium,r1,LY,0.692,346,500,0
mistral_medium,r1,WO,0.742,371,500,0
mistral_medium,r1,WY,0.676,338,500,0
qwen3_32b,r1,BO,0.768,384,500,0
qwen3_32b,r1,BY,0.662,331,500,0
qwen3_32b,r1,LO,0.722,361,500,0
qwen3_32b,r1,LY,0.684,342,500,0
qwen3_32b,r1,WO,0.74,370,500,0
qwen3_32b,r1,WY,0.682,341,500,0
gpt_oss_120b,r2,BO,0.762,381,500,0
gpt_oss_120b,r2,BY,0.684,342,500,0
gpt_oss_120b,r2,LO,0.728,364,500,0
gpt_oss_120b,r2,LY,0.678,339,500,0
gpt_oss_120b,r2,WO,0.748,374,500,0
gpt_oss_120b,r2,WY,0.68,340,500,0
mistral_medium,r2,BO,0.764,382,500,0
mistral_medium,r2,BY,0.67,335,500,0
mistral_medium,r2,LO,0.702,351,500,0
mistral_medium,r2,LY,0.69,345,500,0
mistral_medium,r2,WO,0.75,375,500,0
mistral_medium,r2,WY,0.67,335,500,0
qwen3_32b,r2,BO,0.77,385,500,0
qwen3_32b,r2,BY,0.66,330,500,0
qwen3_32b,r2,LO,0.694,347,500,0
qwen3_32b,r2,LY,0.68,340,500,0
qwen3_32b,r2,WO,0.726,363,500,0
qwen3_32b,r2,WY,0.674,337,500,0
gpt_oss_120b,r3,BO,0.75,375,500,0
gpt_oss_120b,r3,BY,0.674,337,500,0
gpt_oss_120b,r3,LO,0.702,351,500,0
gpt_oss_120b,r3,LY,0.67,335,500,0
gpt_oss_120b,r3,WO,0.738,369,500,0
gpt_oss_120b,r3,WY,0.662,331,500,0
mistral_medium,r3,BO,0.758,379,500,0
mistral_medium,r3,BY,0.676,338,500,0
mistral_medium,r3,LO,0.712,356,500,0
mistral_medium,r3,LY,0.694,347,500,0
mistral_medium,r3,WO,0.754,377,500,0
mistral_medium,r3,WY,0.678,339,500,0
qwen3_32b,r3,BO,0.76,380,500,0
qwen3_32b,r3,BY,0.646,323,500,0
qwen3_32b,r3,LO,0.702,351,500,0
qwen3_32b,r3,LY,0.69,345,500,0
qwen3_32b,r3,WO,0.746,373,500,0
qwen3_32b,r3,WY,0.666,333,500,0
