model,group,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
gpt_oss_120b,BO,0.5317545300302274,0.0021169542949141295,0.428,0.014514360704718173,500.0,500
gpt_oss_120b,BY,0.49914974060976974,0.0026730079843504755,0.37399999999999994,0.00979795897113272,500.0,500
gpt_oss_120b,LO,0.5575800726499144,0.003459275824672247,0.45399999999999996,0.013952299690970888,500.0,500
gpt_oss_120b,LY,0.5166701230789875,0.001491480898101691,0.4146666666666667,0.0018856180831641283,500.0,500
gpt_oss_120b,WO,0.5853333632361771,0.00324381309920796,0.506,0.0032659863237109073,500.0,500
gpt_oss_120b,WY,0.5394636530732702,0.0034623448526740837,0.41333333333333333,0.009843215373488921,500.0,500
mistral_medium,BO,0.5130133013292729,0.0010265617765895267,0.442,0.0032659863237109073,500.0,500
mistral_medium,BY,0.4802147484899207,0.003219402263582842,0.36066666666666664,0.011469767022723513,500.0,500
mistral_medium,LO,0.5444816316732329,0.003958029055235785,0.4546666666666667,0.00659966329107445,500.0,500
mistral_medium,LY,0.491703502108288,0.002935632071904674,0.37333333333333335,0.006182412330330475,500.0,500
mistral_medium,WO,0.5689480506127839,0.004306225839959929,0.488,0.00489897948556636,500.0,500
mistral_medium,WY,0.5241473210884982,0.0027637018909027955,0.41,0.005887840577551878,500.0,500
qwen3_32b,BO,0.49223803716113657,0.006754719002753666,0.42333333333333334,0.011813363431112911,500.0,500
qwen3_32b,BY,0.44940093113285107,0.005524864596320899,0.324,0.02303620339089466,500.0,500
qwen3_32b,LO,0.5004039255550099,0.004534791205390674,0.3746666666666667,0.016438437341250618,500.0,500
qwen3_32b,LY,0.46453033680323413,0.009778918605196918,0.3433333333333333,0.015434449203720288,500.0,500
qwen3_32b,WO,0.5397066413049327,0.007794793550869392,0.42933333333333334,0.010873004286866737,500.0,500
qwen3_32b,WY,0.5087168214659271,0.0024700507978728846,0.3960000000000001,0.0043204937989385775,500.0,500
