model,run,group,token_f1,iou_f1,n_eval,missing,gt_total
gpt_oss_120b,r1,BO,0.5343929308909195,0.448,500,0,500
gpt_oss_120b,r1,BY,0.5027678867220942,0.386,500,0,500
gpt_oss_120b,r1,LO,0.5618383711747497,0.472,500,0,500
gpt_oss_120b,r1,LY,0.5183614566548013,0.416,500,0,500
gpt_oss_120b,r1,WO,0.5897797757797764,0.506,500,0,500
gpt_oss_120b,r1,WY,0.5426331178625309,0.426,500,0,500
gpt_oss_120b,r2,BO,0.5292100239629657,0.414,500,0,500
gpt_oss_120b,r2,BY,0.4982889404884767,0.374,500,0,500
gpt_oss_120b,r2,LO,0.5533652450561661,0.438,500,0,500
gpt_oss_120b,r2,LY,0.5147329820790183,0.416,500,0,500
gpt_oss_120b,r2,WO,0.5840876776817961,0.502,500,0,500
gpt_oss_120b,r2,WY,0.5411111981312241,0.412,500,0,500
gpt_oss_120b,r3,BO,0.5316606352367969,0.422,500,0,500
gpt_oss_120b,r3,BY,0.4963923946187382,0.362,500,0,500
gpt_oss_120b,r3,LO,0.5575366017188274,0.452,500,0,500
gpt_oss_120b,r3,LY,0.5169159305031431,0.412,500,0,500
gpt_oss_120b,r3,WO,0.582132636246959,0.51,500,0,500
gpt_oss_120b,r3,WY,0.5346466432260554,0.402,500,0,500
mistral_medium,r1,BO,0.5143778609232713,0.438,500,0,500
mistral_medium,r1,BY,0.4756627969986974,0.346,500,0,500
mistral_medium,r1,LO,0.5486975571421596,0.462,500,0,500
mistral_medium,r1,LY,0.4911780531347033,0.37,500,0,500
mistral_medium,r1,WO,0.5664650738150745,0.488,500,0,500
mistral_medium,r1,WY,0.5273575969781857,0.402,500,0,500
mistral_medium,r2,BO,0.5127602376288408,0.446,500,0,500
mistral_medium,r2,BY,0.4824093017674663,0.362,500,0,500
mistral_medium,r2,LO,0.5455624728420344,0.456,500,0,500
mistral_medium,r2,LY,0.49553271380584,0.382,500,0,500
mistral_medium,r2,WO,0.575005293484578,0.494,500,0,500
mistral_medium,r2,WY,0.5244729003023125,0.416,500,0,500
mistral_medium,r3,BO,0.5119018054357067,0.442,500,0,500
mistral_medium,r3,BY,0.4825721467035984,0.374,500,0,500
mistral_medium,r3,LO,0.5391848650355047,0.446,500,0,500
mistral_medium,r3,LY,0.48839973938432074,0.368,500,0,500
mistral_medium,r3,WO,0.5653737845386992,0.482,500,0,500
mistral_medium,r3,WY,0.5206114659849961,0.412,500,0,500
qwen3_32b,r1,BO,0.4852026659443074,0.414,500,0,500
qwen3_32b,r1,BY,0.45203923734676105,0.354,500,0,500
qwen3_32b,r1,LO,0.5011609316895704,0.372,500,0,500
qwen3_32b,r1,LY,0.47718214833953904,0.358,500,0,500
qwen3_32b,r1,WO,0.546946077576722,0.436,500,0,500
qwen3_32b,r1,WY,0.5122070203028012,0.398,500,0,500
qwen3_32b,r2,BO,0.5013518828003491,0.44,500,0,500
qwen3_32b,r2,BY,0.45445089872288036,0.32,500,0,500
qwen3_32b,r2,LO,0.5055405565023218,0.396,500,0,500
qwen3_32b,r2,LY,0.46304071289907267,0.35,500,0,500
qwen3_32b,r2,WO,0.5432863072816576,0.438,500,0,500
qwen3_32b,r2,WY,0.5070966639356673,0.39,500,0,500
qwen3_32b,r3,BO,0.4901595627387532,0.416,500,0,500
qwen3_32b,r3,BY,0.44171265732891185,0.298,500,0,500
qwen3_32b,r3,LO,0.4945102884731375,0.356,500,0,500
qwen3_32b,r3,LY,0.45336814917109086,0.322,500,0,500
qwen3_32b,r3,WO,0.5288875390564185,0.414,500,0,500
qwen3_32b,r3,WY,0.5068467801593131,0.4,500,0,500
