model,group,persona_text,accuracy_mean,accuracy_std,correct_mean,total_mean,missing_mean,matches_group,valid_runs,total_runs
gpt_oss_120b,BO,A 25-year-old African American Male,0.7653333333333334,0.0018856180831641283,382.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,BO,A 25-year-old Hispanic Male,0.7526666666666667,0.0024944382578492965,376.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,BO,A 25-year-old Caucasian Male,0.7586666666666666,0.006798692684790386,379.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,BO,A 25-year-old African American Female,0.7533333333333333,0.0037712361663282566,376.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,BO,A 25-year-old Hispanic Female,0.7673333333333333,0.00736357401145818,383.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,BO,A 25-year-old Caucasian Female,0.7566666666666667,0.005734883511361756,378.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,BO,A 45-year-old African American Male,0.7533333333333333,0.008219218670625309,376.6666666666667,500.0,0.0,True,3,3
gpt_oss_120b,BO,A 45-year-old Hispanic Male,0.7593333333333333,0.0037712361663282566,379.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,BO,A 45-year-old Caucasian Male,0.7520000000000001,0.0056568542494923844,376.0,500.0,0.0,False,3,3
gpt_oss_120b,BO,A 45-year-old African American Female,0.7513333333333333,0.00736357401145818,375.6666666666667,500.0,0.0,True,3,3
gpt_oss_120b,BO,A 45-year-old Hispanic Female,0.7453333333333333,0.0041096093353126546,372.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,BO,A 45-year-old Caucasian Female,0.7593333333333333,0.003399346342395193,379.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,BY,A 25-year-old African American Male,0.6826666666666666,0.0018856180831641283,341.3333333333333,500.0,0.0,True,3,3
gpt_oss_120b,BY,A 25-year-old Hispanic Male,0.6746666666666666,0.0041096093353126546,337.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,BY,A 25-year-old Caucasian Male,0.672,0.00979795897113272,336.0,500.0,0.0,False,3,3
gpt_oss_120b,BY,A 25-year-old African American Female,0.6819999999999999,0.006531972647421769,341.0,500.0,0.0,True,3,3
gpt_oss_120b,BY,A 25-year-old Hispanic Female,0.678,0.0043204937989385775,339.0,500.0,0.0,False,3,3
gpt_oss_120b,BY,A 25-year-old Caucasian Female,0.6806666666666668,0.0037712361663282566,340.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old African American Male,0.6793333333333335,0.0024944382578492965,339.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old Hispanic Male,0.6853333333333333,0.003399346342395142,342.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old Caucasian Male,0.68,0.002828427124746193,340.0,500.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old African American Female,0.6846666666666666,0.008379870059984314,342.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old Hispanic Female,0.6846666666666668,0.0033993463423951566,342.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old Caucasian Female,0.6786666666666666,0.006798692684790335,339.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,LO,A 25-year-old African American Male,0.7113333333333333,0.008993825042154702,355.6666666666667,500.0,0.0,False,3,3
