model,group,persona_code,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
gpt_oss_120b,BO,25_m_b,0.5324462912303574,0.003949504719054058,0.416,0.005656854249492386,500.0,500
gpt_oss_120b,BO,25_m_l,0.5396417861210031,0.004671064560204213,0.4386666666666667,0.012036980056845203,500.0,500
gpt_oss_120b,BO,25_m_w,0.5285891115414846,0.002583105610030097,0.4166666666666667,0.008379870059984364,500.0,500
gpt_oss_120b,BO,25_f_b,0.532137969218552,0.002414896469786813,0.4206666666666667,0.005249338582674546,500.0,500
gpt_oss_120b,BO,25_f_l,0.5299390602686883,0.004457795784028418,0.416,0.01019803902718556,500.0,500
gpt_oss_120b,BO,25_f_w,0.5296540332529448,0.004433273354229356,0.416,0.007118052168020855,500.0,500
gpt_oss_120b,BO,45_m_b,0.5331929854383791,0.0022694287612601964,0.4286666666666667,0.00659966329107445,500.0,500
gpt_oss_120b,BO,45_m_l,0.5322675950813038,0.006471785480310752,0.42533333333333334,0.011115554667022054,500.0,500
gpt_oss_120b,BO,45_m_w,0.5334954938550794,0.002425320988703666,0.43733333333333335,0.003399346342395193,500.0,500
gpt_oss_120b,BO,45_f_b,0.5332367193338579,0.0019506386267004864,0.426,0.005656854249492385,500.0,500
gpt_oss_120b,BO,45_f_l,0.5335309497986283,0.004660047929494533,0.434,0.019866219234335136,500.0,500
gpt_oss_120b,BO,45_f_w,0.5314058983605617,0.004047204309309436,0.426,0.011430952132988175,500.0,500
gpt_oss_120b,BY,25_m_b,0.5054229410167969,0.0038239174530088874,0.37799999999999995,0.0065319726474218145,500.0,500
gpt_oss_120b,BY,25_m_l,0.5051248742241549,0.00213681826309198,0.38000000000000006,0.009933109617167568,500.0,500
gpt_oss_120b,BY,25_m_w,0.4960809919011166,0.002977210446774847,0.3666666666666667,0.007542472332656513,500.0,500
gpt_oss_120b,BY,25_f_b,0.500957271521946,0.007518617951136319,0.38066666666666665,0.004988876515698593,500.0,500
gpt_oss_120b,BY,25_f_l,0.5008776678190375,0.005931658067918692,0.37200000000000005,0.005887840577551903,500.0,500
gpt_oss_120b,BY,25_f_w,0.5037322461107299,0.00258569934757026,0.3706666666666667,0.010498677165349092,500.0,500
gpt_oss_120b,BY,45_m_b,0.506532814963181,0.0036041504166189073,0.3753333333333333,0.014817407180595259,500.0,500
gpt_oss_120b,BY,45_m_l,0.5046719330526149,0.0024877317854637257,0.38066666666666665,0.0024944382578492965,500.0,500
gpt_oss_120b,BY,45_m_w,0.5044692779620839,0.0006273854014501913,0.3666666666666667,0.0009428090415820641,500.0,500
gpt_oss_120b,BY,45_f_b,0.5001422784007702,0.0032013890246349167,0.3753333333333333,0.016759740119968728,500.0,500
gpt_oss_120b,BY,45_f_l,0.5013885933523764,0.003119254808069442,0.37799999999999995,0.008485281374238578,500.0,500
gpt_oss_120b,BY,45_f_w,0.502780713368965,0.004626451789368768,0.37266666666666665,0.01236482466066095,500.0,500
gpt_oss_120b,LO,25_m_b,0.5614142292569811,0.003909413615242106,0.4446666666666667,0.00659966329107445,500.0,500
gpt_oss_120b,LO,25_m_l,0.5622956720090676,0.003093649392656918,0.45,0.0065319726474218145,500.0,500
gpt_oss_120b,LO,25_m_w,0.5575180392461178,0.007941034729519647,0.44933333333333336,0.015520595635763768,500.0,500
gpt_oss_120b,LO,25_f_b,0.5600575565184535,0.005243804715053438,0.4626666666666666,0.009568466729604866,500.0,500
gpt_oss_120b,LO,25_f_l,0.5601301638471116,0.0047927894433180945,0.45533333333333337,0.00659966329107445,500.0,500
gpt_oss_120b,LO,25_f_w,0.5513714324081471,0.0032693152724235,0.4326666666666667,0.006798692684790386,500.0,500
gpt_oss_120b,LO,45_m_b,0.5621906884913995,0.0034959989209816457,0.4586666666666667,0.006798692684790386,500.0,500
gpt_oss_120b,LO,45_m_l,0.5567782515956502,0.004811037640034838,0.4326666666666667,0.012256517540566834,500.0,500
gpt_oss_120b,LO,45_m_w,0.558054668670297,0.004277394183836727,0.44933333333333336,0.006798692684790386,500.0,500
gpt_oss_120b,LO,45_f_b,0.5596741706972632,0.003936182382891983,0.4466666666666667,0.011585431464655188,500.0,500
gpt_oss_120b,LO,45_f_l,0.56255336920026,0.00590615727121205,0.44733333333333336,0.016519348924485172,500.0,500
gpt_oss_120b,LO,45_f_w,0.5569839343488561,0.0027512190595614496,0.436,0.009933109617167568,500.0,500
gpt_oss_120b,LY,25_m_b,0.5197008095852644,0.002751819237083322,0.4026666666666667,0.011813363431112885,500.0,500
gpt_oss_120b,LY,25_m_l,0.5178870672728264,0.0006964385011510287,0.4000000000000001,0.0043204937989385775,500.0,500
gpt_oss_120b,LY,25_m_w,0.5166788764363276,0.005588577998970008,0.41333333333333333,0.01111555466702203,500.0,500
gpt_oss_120b,LY,25_f_b,0.519469876624077,0.001486878056889669,0.40399999999999997,0.0043204937989385515,500.0,500
