model,run,group,persona_code,token_f1,iou_f1,n_eval,missing,gt_total
gpt_oss_120b,r1,BO,25_m_b,0.5312104283669328,0.42,500,0,500
gpt_oss_120b,r1,BO,25_m_l,0.5369233232587137,0.45,500,0,500
gpt_oss_120b,r1,BO,25_m_w,0.5275577062773606,0.414,500,0,500
gpt_oss_120b,r1,BO,25_f_b,0.5308268439823182,0.418,500,0,500
gpt_oss_120b,r1,BO,25_f_l,0.5354655900447804,0.43,500,0,500
gpt_oss_120b,r1,BO,25_f_w,0.5296186946965188,0.42,500,0,500
gpt_oss_120b,r1,BO,45_m_b,0.5301084719003241,0.42,500,0,500
gpt_oss_120b,r1,BO,45_m_l,0.5236770671290397,0.41,500,0,500
gpt_oss_120b,r1,BO,45_m_w,0.5326953699379402,0.442,500,0,500
gpt_oss_120b,r1,BO,45_f_b,0.5320694647554931,0.422,500,0,500
gpt_oss_120b,r1,BO,45_f_l,0.5384553433184702,0.462,500,0,500
gpt_oss_120b,r1,BO,45_f_w,0.5328478514022741,0.42,500,0,500
gpt_oss_120b,r1,BY,25_m_b,0.5086289136828989,0.386,500,0,500
gpt_oss_120b,r1,BY,25_m_l,0.5022208166962047,0.374,500,0,500
gpt_oss_120b,r1,BY,25_m_w,0.49388732265326757,0.356,500,0,500
gpt_oss_120b,r1,BY,25_f_b,0.49893271517881094,0.382,500,0,500
gpt_oss_120b,r1,BY,25_f_l,0.508037189817706,0.38,500,0,500
gpt_oss_120b,r1,BY,25_f_w,0.5052132003187739,0.38,500,0,500
gpt_oss_120b,r1,BY,45_m_b,0.5015622632434059,0.356,500,0,500
gpt_oss_120b,r1,BY,45_m_l,0.5075390008340481,0.38,500,0,500
gpt_oss_120b,r1,BY,45_m_w,0.5036074557193759,0.368,500,0,500
gpt_oss_120b,r1,BY,45_f_b,0.5046540662632267,0.398,500,0,500
gpt_oss_120b,r1,BY,45_f_l,0.49698158169659745,0.384,500,0,500
gpt_oss_120b,r1,BY,45_f_w,0.5032593047968476,0.366,500,0,500
gpt_oss_120b,r1,LO,25_m_b,0.5590071510189165,0.446,500,0,500
gpt_oss_120b,r1,LO,25_m_l,0.5583445908340027,0.442,500,0,500
gpt_oss_120b,r1,LO,25_m_w,0.5659278226864305,0.468,500,0,500
gpt_oss_120b,r1,LO,25_f_b,0.5633267020389318,0.476,500,0,500
gpt_oss_120b,r1,LO,25_f_l,0.5543156127147121,0.448,500,0,500
gpt_oss_120b,r1,LO,25_f_w,0.5559799008002069,0.442,500,0,500
gpt_oss_120b,r1,LO,45_m_b,0.557270050864169,0.452,500,0,500
gpt_oss_120b,r1,LO,45_m_l,0.559124855020393,0.432,500,0,500
gpt_oss_120b,r1,LO,45_m_w,0.561054617931089,0.456,500,0,500
gpt_oss_120b,r1,LO,45_f_b,0.5562761413494158,0.444,500,0,500
gpt_oss_120b,r1,LO,45_f_l,0.5563538427165632,0.424,500,0,500
gpt_oss_120b,r1,LO,45_f_w,0.5573234406796602,0.422,500,0,500
gpt_oss_120b,r1,LY,25_m_b,0.5179013334481144,0.41,500,0,500
gpt_oss_120b,r1,LY,25_m_l,0.5187622092389903,0.396,500,0,500
gpt_oss_120b,r1,LY,25_m_w,0.5116817319934971,0.398,500,0,500
gpt_oss_120b,r1,LY,25_f_b,0.5191667812579583,0.4,500,0,500
gpt_oss_120b,r1,LY,25_f_l,0.518491317104846,0.414,500,0,500
gpt_oss_120b,r1,LY,25_f_w,0.5199855201214341,0.406,500,0,500
gpt_oss_120b,r1,LY,45_m_b,0.5268291506163635,0.416,500,0,500
gpt_oss_120b,r1,LY,45_m_l,0.5236932055560541,0.402,500,0,500
gpt_oss_120b,r1,LY,45_m_w,0.5213519751490346,0.402,500,0,500
gpt_oss_120b,r1,LY,45_f_b,0.5185633953190293,0.4,500,0,500
gpt_oss_120b,r1,LY,45_f_l,0.5252533836581152,0.414,500,0,500
gpt_oss_120b,r1,LY,45_f_w,0.5195689128896567,0.42,500,0,500
gpt_oss_120b,r1,WO,25_m_b,0.5860130208949909,0.484,500,0,500
gpt_oss_120b,r1,WO,25_m_l,0.5934597233485477,0.524,500,0,500
gpt_oss_120b,r1,WO,25_m_w,0.5836950898224592,0.484,500,0,500
gpt_oss_120b,r1,WO,25_f_b,0.6011274426983413,0.532,500,0,500
gpt_oss_120b,r1,WO,25_f_l,0.584945468043339,0.508,500,0,500
gpt_oss_120b,r1,WO,25_f_w,0.5904795250501137,0.512,500,0,500
gpt_oss_120b,r1,WO,45_m_b,0.580848942370951,0.486,500,0,500
gpt_oss_120b,r1,WO,45_m_l,0.5784595156992998,0.468,500,0,500
gpt_oss_120b,r1,WO,45_m_w,0.5897661814031389,0.508,500,0,500
gpt_oss_120b,r1,WO,45_f_b,0.5927159217253344,0.512,500,0,500
gpt_oss_120b,r1,WO,45_f_l,0.5936112926232626,0.518,500,0,500
gpt_oss_120b,r1,WO,45_f_w,0.5946164250919364,0.508,500,0,500
gpt_oss_120b,r1,WY,25_m_b,0.5455426725836948,0.404,500,0,500
gpt_oss_120b,r1,WY,25_m_l,0.5465927528164999,0.418,500,0,500
gpt_oss_120b,r1,WY,25_m_w,0.5458543660031215,0.44,500,0,500
gpt_oss_120b,r1,WY,25_f_b,0.5533957360149317,0.45,500,0,500
gpt_oss_120b,r1,WY,25_f_l,0.5414217073432254,0.426,500,0,500
gpt_oss_120b,r1,WY,25_f_w,0.5467116033015018,0.432,500,0,500
gpt_oss_120b,r1,WY,45_m_b,0.5398919584110128,0.404,500,0,500
gpt_oss_120b,r1,WY,45_m_l,0.5449627347197018,0.422,500,0,500
gpt_oss_120b,r1,WY,45_m_w,0.5411947227935471,0.418,500,0,500
gpt_oss_120b,r1,WY,45_f_b,0.5489799156057005,0.438,500,0,500
gpt_oss_120b,r1,WY,45_f_l,0.5371791290408945,0.414,500,0,500
gpt_oss_120b,r1,WY,45_f_w,0.5473119900671866,0.418,500,0,500
gpt_oss_120b,r2,BO,25_m_b,0.528346981569455,0.408,500,0,500
gpt_oss_120b,r2,BO,25_m_l,0.5462150117924743,0.444,500,0,500
gpt_oss_120b,r2,BO,25_m_w,0.5321397448605155,0.428,500,0,500
gpt_oss_120b,r2,BO,25_f_b,0.535524520741968,0.416,500,0,500
