model,persona_type,persona_id,subgroup,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,mean_error_mean,mean_error_std,mean_absolute_error_mean,mean_absolute_error_std,hate_over_flagging_rate_mean,hate_over_flagging_rate_std,offensive_over_flagging_rate_mean,offensive_over_flagging_rate_std,offensive_to_hate_rate_mean,offensive_to_hate_rate_std,n_samples_mean,n_runs
gpt_oss_120b,baseline,baseline,gender,0.47887323943661975,0.00995925043924716,0.4532790210048791,0.010573586375055514,0.47379095146038613,0.009124822672517985,0.5704225352112676,0.0,0.6408450704225352,0.0,0.2698412698412698,0.022447834323382456,0.4444444444444444,0.038880789567986955,0.5,0.029462782549439508,142.0,3
gpt_oss_120b,persona,15,gender,0.48356807511737093,0.006639500292831449,0.4626028901146295,0.009130984731688205,0.47738580749796605,0.00666617868101432,0.5938967136150235,0.008783233302286236,0.6455399061032864,0.003319750146415712,0.291005291005291,0.01979712903054995,0.3968253968253968,0.03428963332490931,0.548611111111111,0.009820927516479845,142.0,3
gpt_oss_120b,persona,35,gender,0.45774647887323944,0.005749975922026232,0.43461216716723056,0.00811635928341714,0.4478130158861507,0.006325635676332882,0.6455399061032864,0.0184835865587132,0.7018779342723005,0.0184835865587132,0.35978835978835977,0.02993044576450995,0.3439153439153439,0.01979712903054995,0.5972222222222222,0.009820927516479793,142.0,3
gpt_oss_120b,persona,65,gender,0.46244131455399057,0.013279000585662847,0.4356275481381746,0.017594518861393082,0.454238075530315,0.014578764180273622,0.6220657276995305,0.020193251800569568,0.6737089201877934,0.014470455406030442,0.30687830687830686,0.01979712903054995,0.41798941798941797,0.03261594710565596,0.5625,0.017010345435994324,142.0,3
gpt_oss_120b,persona,no_formal_education,gender,0.5,0.01991850087849427,0.48379763795226677,0.018816146658244853,0.4950151975907487,0.02139659709907841,0.568075117370892,0.01756646660457247,0.6244131455399061,0.02393905874926192,0.2804232804232804,0.014965222882254972,0.37566137566137564,0.01979712903054995,0.5347222222222222,0.054680610236193146,142.0,3
gpt_oss_120b,persona,high_school_education,gender,0.4624413145539907,0.017566466604572496,0.43788917237802033,0.019750795805782203,0.4559318220888806,0.017175343037762688,0.6103286384976525,0.011969529374630986,0.6619718309859155,0.005749975922026232,0.2804232804232804,0.045514948502871036,0.43915343915343913,0.06523189421131194,0.5694444444444445,0.03540985773328321,142.0,3
gpt_oss_120b,persona,higher_education,gender,0.46713615023474175,0.008783233302286236,0.4454030916305838,0.011699780654694283,0.45876960520483373,0.008967713477080702,0.6220657276995305,0.0184835865587132,0.6784037558685446,0.01848358655871315,0.328042328042328,0.0395942580610999,0.36507936507936506,0.046728893472634106,0.5833333333333334,0.0,142.0,3
gpt_oss_120b,persona,male,gender,0.4436619718309858,0.00995925043924716,0.4174048507277514,0.012090226619569355,0.43376682045158904,0.011350004330811814,0.6314553990610329,0.023238251024910023,0.7018779342723005,0.029506584718254788,0.32275132275132273,0.045514948502871036,0.3968253968253968,0.02592052637865797,0.6041666666666666,0.01701034543599428,142.0,3
gpt_oss_120b,persona,female,gender,0.44835680751173707,0.026558001171325746,0.42427847465186486,0.03269697924935021,0.43716071341964796,0.028759139495395703,0.6525821596244131,0.029506584718254788,0.704225352112676,0.025063563971904502,0.3439153439153439,0.007482611441127487,0.35978835978835977,0.04166141732281382,0.6319444444444445,0.03540985773328321,142.0,3
gpt_oss_120b,persona,not_lonely,gender,0.47417840375586856,0.016598750732078584,0.4516759282794833,0.020449547485202026,0.46658870648499035,0.017869132435265726,0.6126760563380281,0.01724992776607874,0.6690140845070424,0.017249927766078695,0.32275132275132273,0.01979712903054995,0.37566137566137564,0.02697893922535865,0.5555555555555557,0.025983731852596812,142.0,3
gpt_oss_120b,persona,somewhat_lonely,gender,0.471830985915493,0.02299990368810495,0.4468315713086575,0.025949108510344727,0.4647525927130595,0.02431179177210115,0.607981220657277,0.008783233302286236,0.6596244131455399,0.014470455406030442,0.2962962962962963,0.01979712903054995,0.41798941798941797,0.03261594710565596,0.548611111111111,0.04280843057617344,142.0,3
