model,persona_type,persona_id,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,mean_error_mean,mean_error_std,mean_absolute_error_mean,mean_absolute_error_std,hate_over_flagging_rate_mean,hate_over_flagging_rate_std,offensive_over_flagging_rate_mean,offensive_over_flagging_rate_std,offensive_to_hate_rate_mean,offensive_to_hate_rate_std,n_runs
gpt_oss_120b,baseline,baseline,0.526,0.005887840577551903,0.5312465308115342,0.005492541554366169,0.488351198973537,0.001982744909076297,0.5653333333333334,0.005249338582674494,0.6426666666666666,0.0009428090415820641,0.2679955703211517,0.010269787924137007,0.3388704318936877,0.021530699994710495,0.5155555555555555,0.016629588385661954,3
gpt_oss_120b,persona,15,0.528,0.008640987597877155,0.5337647522650198,0.00905195560608239,0.4865217808895724,0.010656475974271894,0.5753333333333334,0.005249338582674546,0.6353333333333334,0.010873004286866737,0.26688815060908083,0.0031322559520998725,0.33665559246954596,0.004143585145929067,0.5422222222222222,0.012570787221094207,3
gpt_oss_120b,persona,35,0.52,0.00489897948556636,0.5248608659527548,0.006206839768209479,0.4729474066681805,0.0013231231552961475,0.598,0.017204650534085267,0.6606666666666667,0.009285592184789422,0.2956810631229236,0.01650018208831821,0.3089700996677741,0.018988292579714555,0.5822222222222223,0.01662958838566193,3
gpt_oss_120b,persona,65,0.512,0.0043204937989385775,0.5149536030932306,0.0032637114268673525,0.47100590029632644,0.003665059886038874,0.61,0.008640987597877155,0.666,0.0065319726474218145,0.29235880398671094,0.016940264164760098,0.33444075304540416,0.019623527294207473,0.5644444444444444,0.022662308949301276,3
gpt_oss_120b,persona,no_formal_education,0.5373333333333333,0.0041096093353126546,0.545572226681859,0.0030189580592812713,0.4977236239704464,0.0079383594543108,0.5513333333333333,0.0024944382578492965,0.6246666666666667,0.011813363431112911,0.2591362126245847,0.0097804660756676,0.327796234772979,0.0190527691407367,0.5244444444444444,0.03142696805273544,3
gpt_oss_120b,persona,high_school_education,0.516,0.005887840577551903,0.5241982553605388,0.00557243593461874,0.47595104922082926,0.0073243859191059945,0.5846666666666667,0.010873004286866737,0.65,0.0016329931618554536,0.2735326688815061,0.006264511904199771,0.3388704318936877,0.012430755437787173,0.5599999999999999,0.02880329199292382,3
gpt_oss_120b,persona,higher_education,0.518,0.0043204937989385775,0.5243278715884329,0.005964707152127525,0.47456546767645486,0.0032250582430036877,0.594,0.007118052168020881,0.654,0.007118052168020881,0.2823920265780731,0.008137839677020533,0.327796234772979,0.015424571735530593,0.5777777777777778,0.006285393610547077,3
gpt_oss_120b,persona,male,0.5213333333333333,0.008055363982396388,0.5283823173936383,0.006336478234326703,0.4767345469415944,0.004303733284375134,0.584,0.0043204937989385775,0.6493333333333333,0.0041096093353126546,0.28017718715393136,0.01493990870789817,0.3222591362126246,0.025876680942520304,0.5688888888888889,0.006285393610547077,3
gpt_oss_120b,persona,female,0.5166666666666667,0.00659966329107445,0.5223507276074725,0.007670657981301401,0.4682990781465311,0.006267845718356861,0.61,0.012328828005937964,0.662,0.00489897948556636,0.2956810631229236,0.004698383928149822,0.31229235880398676,0.016275679354041044,0.6133333333333333,0.018856180831641284,3
gpt_oss_120b,persona,not_lonely,0.534,0.00489897948556636,0.5411045375043464,0.007009973131950594,0.4900149947509158,0.004875851896065292,0.5786666666666668,0.013097921802925632,0.6386666666666666,0.011813363431112911,0.2823920265780731,0.012430755437787192,0.3067552602436323,0.006826593580253572,0.5599999999999999,0.0217732421580727,3
gpt_oss_120b,persona,somewhat_lonely,0.5166666666666667,0.00659966329107445,0.5234345667198128,0.0068096600387901095,0.4784197327867081,0.009294977010963677,0.58,0.014236104336041762,0.644,0.00979795897113272,0.26245847176079734,0.009780466075667599,0.3554817275747508,0.012430755437787173,0.5466666666666667,0.03771236166328251,3
