model,run,persona_type,persona_id,accuracy,f1_weighted,f1_macro,mean_error,mean_absolute_error,hate_over_flagging_rate,offensive_over_flagging_rate,offensive_to_hate_rate
gpt_oss_120b,r1,baseline,baseline,0.52,0.5257053389661875,0.4856733828929265,0.568,0.644,0.2591362126245847,0.3588039867109635,0.52
gpt_oss_120b,r1,persona,15,0.536,0.5433194638012976,0.49636522381411224,0.568,0.624,0.26245847176079734,0.33222591362126247,0.5333333333333333
gpt_oss_120b,r1,persona,35,0.514,0.5162738713187304,0.4718669924500552,0.618,0.67,0.30564784053156147,0.31893687707641194,0.56
gpt_oss_120b,r1,persona,65,0.506,0.5111595657299847,0.4658255901115888,0.598,0.658,0.2691029900332226,0.36212624584717606,0.5733333333333334
gpt_oss_120b,r1,persona,no_formal_education,0.542,0.5491094245204337,0.5089410749267801,0.552,0.608,0.24584717607973422,0.3521594684385382,0.48
gpt_oss_120b,r1,persona,high_school_education,0.514,0.5261759598256552,0.4730882956491788,0.576,0.648,0.2691029900332226,0.33554817275747506,0.5733333333333334
gpt_oss_120b,r1,persona,higher_education,0.524,0.53273154383516,0.47828385909535814,0.584,0.648,0.2823920265780731,0.3122923588039867,0.5866666666666667
gpt_oss_120b,r1,persona,male,0.528,0.5334261275685414,0.47899710205536916,0.59,0.654,0.29900332225913623,0.292358803986711,0.5733333333333334
gpt_oss_120b,r1,persona,female,0.526,0.5330834810874704,0.4771227344365642,0.596,0.656,0.29900332225913623,0.292358803986711,0.6
gpt_oss_120b,r1,persona,not_lonely,0.534,0.5381580381323062,0.4916573592983853,0.594,0.646,0.29900332225913623,0.29900332225913623,0.5333333333333333
gpt_oss_120b,r1,persona,somewhat_lonely,0.512,0.519013774195978,0.4769134593658206,0.568,0.644,0.25249169435215946,0.37209302325581395,0.52
gpt_oss_120b,r1,persona,left-wing,0.528,0.5324775439614149,0.4762334439753795,0.62,0.66,0.3122923588039867,0.2823920265780731,0.6266666666666667
gpt_oss_120b,r1,persona,right-wing,0.55,0.5591938726618146,0.5088448759880334,0.53,0.614,0.2691029900332226,0.2956810631229236,0.4666666666666667
gpt_oss_120b,r1,persona,centrist,0.524,0.5319188075630467,0.4841267397951767,0.574,0.63,0.2558139534883721,0.3521594684385382,0.5466666666666666
gpt_oss_120b,r1,persona,white,0.52,0.5305438005079659,0.4775763872854614,0.574,0.63,0.24916943521594684,0.3554817275747508,0.5866666666666667
gpt_oss_120b,r1,persona,black,0.538,0.5520487050537342,0.5037669870230005,0.518,0.586,0.19933554817275748,0.38870431893687707,0.52
gpt_oss_120b,r1,persona,asian,0.52,0.5286706020547254,0.47560265007197255,0.574,0.634,0.2558139534883721,0.3488372093023256,0.5733333333333334
gpt_oss_120b,r1,persona,christian,0.526,0.5317187231680385,0.4722382502766637,0.578,0.646,0.27906976744186046,0.3089700996677741,0.6
gpt_oss_120b,r1,persona,muslim,0.546,0.558860168631575,0.4974653428464244,0.538,0.598,0.23920265780730898,0.3222591362126246,0.5733333333333334
gpt_oss_120b,r1,persona,jewish,0.558,0.5682598820515957,0.5121335262365748,0.522,0.594,0.24916943521594684,0.3023255813953488,0.5066666666666667
gpt_oss_120b,r1,persona,atheist,0.534,0.5410733822368109,0.48935534306962875,0.6,0.644,0.2956810631229236,0.2956810631229236,0.5866666666666667
gpt_oss_120b,r1,persona,hindu,0.528,0.5352771124368234,0.49079206726831837,0.57,0.626,0.25249169435215946,0.3554817275747508,0.5333333333333333
gpt_oss_120b,r2,baseline,baseline,0.534,0.5387312983252144,0.49041044848878296,0.57,0.642,0.2823920265780731,0.3089700996677741,0.5333333333333333
gpt_oss_120b,r2,persona,15,0.516,0.5216092215168727,0.4717172109599401,0.578,0.65,0.2691029900332226,0.34219269102990035,0.56
gpt_oss_120b,r2,persona,35,0.526,0.5307307300509337,0.47481068262052983,0.6,0.664,0.3089700996677741,0.2823920265780731,0.6
gpt_oss_120b,r2,persona,65,0.514,0.5145742916622561,0.47374533949637154,0.614,0.674,0.3089700996677741,0.31893687707641194,0.5333333333333333
gpt_oss_120b,r2,persona,no_formal_education,0.532,0.5417330396254386,0.4925059506249358,0.554,0.634,0.26245847176079734,0.32558139534883723,0.5466666666666666
gpt_oss_120b,r2,persona,high_school_education,0.524,0.5298158073810246,0.4860035294817903,0.578,0.65,0.2823920265780731,0.32558139534883723,0.52
gpt_oss_120b,r2,persona,higher_education,0.516,0.5207587413154869,0.4749935574647099,0.598,0.65,0.2724252491694352,0.3488372093023256,0.5733333333333334
gpt_oss_120b,r2,persona,male,0.526,0.5322749597423511,0.48049651100375734,0.58,0.644,0.27906976744186046,0.31893687707641194,0.56
gpt_oss_120b,r2,persona,female,0.512,0.5156188865316708,0.4631550258690209,0.626,0.662,0.28903654485049834,0.33222591362126247,0.64
gpt_oss_120b,r2,persona,not_lonely,0.54,0.550775237467979,0.4949936294215731,0.562,0.622,0.2691029900332226,0.30564784053156147,0.56
gpt_oss_120b,r2,persona,somewhat_lonely,0.512,0.5182355331884366,0.46786387963343445,0.6,0.656,0.2757475083056478,0.34219269102990035,0.6
gpt_oss_120b,r2,persona,left-wing,0.506,0.5074619652787032,0.4593943964559886,0.638,0.682,0.3122923588039867,0.31893687707641194,0.6133333333333333
gpt_oss_120b,r2,persona,right-wing,0.55,0.564308209293618,0.5096312268376098,0.51,0.61,0.2591362126245847,0.292358803986711,0.48
