model,run,include_baseline,krippendorff_alpha,n_annotators
gpt_oss_120b,1,False,0.8405681495748757,21
gpt_oss_120b,1,True,0.8393015201357629,22
mistral_medium,1,False,0.7997238983035496,21
mistral_medium,1,True,0.7945617648172556,22
qwen3_32b,1,False,0.5976971804532567,21
qwen3_32b,1,True,0.6022384330355146,22
gpt_oss_120b,2,False,0.8411582301962969,21
gpt_oss_120b,2,True,0.8411216210345225,22
mistral_medium,2,False,0.7974420288041901,21
mistral_medium,2,True,0.792022201135292,22
qwen3_32b,2,False,0.588013421515784,21
qwen3_32b,2,True,0.5942646033547379,22
gpt_oss_120b,3,False,0.8465200945023217,21
gpt_oss_120b,3,True,0.8444169409120132,22
mistral_medium,3,False,0.7971511029771257,21
mistral_medium,3,True,0.7919542427802339,22
qwen3_32b,3,False,0.5924005887241115,21
qwen3_32b,3,True,0.5980737623610546,22
