model,attribute_group,krippendorff_alpha_mean,krippendorff_alpha_std
gpt_oss_120b,Age,0.8552,0.0232
gpt_oss_120b,Education,0.8507,0.019
gpt_oss_120b,Gender,0.8507,0.0157
gpt_oss_120b,Loneliness,0.8609,0.007
gpt_oss_120b,Political,0.8065,0.0022
gpt_oss_120b,Race,0.8377,0.009
gpt_oss_120b,Religion,0.8625,0.0072
mistral_medium,Age,0.8743,0.0042
mistral_medium,Education,0.8366,0.0026
mistral_medium,Gender,0.8356,0.0052
mistral_medium,Loneliness,0.8909,0.0127
mistral_medium,Political,0.5748,0.0027
mistral_medium,Race,0.8341,0.0066
mistral_medium,Religion,0.8256,0.0088
qwen3_32b,Age,0.6089,0.0236
qwen3_32b,Education,0.5221,0.0334
qwen3_32b,Gender,0.6648,0.0287
qwen3_32b,Loneliness,0.5439,0.017
qwen3_32b,Political,0.5216,0.0275
qwen3_32b,Race,0.6443,0.0133
qwen3_32b,Religion,0.6317,0.0071
