model,attribute_group,run,krippendorff_alpha,n_personas
gpt_oss_120b,Age,1,0.881988220224423,3
gpt_oss_120b,Education,1,0.8353974856685492,3
gpt_oss_120b,Gender,1,0.8612069257632411,2
gpt_oss_120b,Loneliness,1,0.8615685625490734,2
gpt_oss_120b,Political,1,0.8068372426269627,3
gpt_oss_120b,Race,1,0.8417325059696885,3
gpt_oss_120b,Religion,1,0.8541968396547843,5
mistral_medium,Age,1,0.8694899464287499,3
mistral_medium,Education,1,0.8394152052032774,3
mistral_medium,Gender,1,0.8305596125639623,2
mistral_medium,Loneliness,1,0.8774965456406351,2
mistral_medium,Political,1,0.5763791437727046,3
mistral_medium,Race,1,0.8415240534047042,3
mistral_medium,Religion,1,0.8326137066041291,5
qwen3_32b,Age,1,0.609511434126244,3
qwen3_32b,Education,1,0.5507081086695687,3
qwen3_32b,Gender,1,0.688661731122797,2
qwen3_32b,Loneliness,1,0.5319706449951493,2
qwen3_32b,Political,1,0.49850446215080724,3
qwen3_32b,Race,1,0.6428050467757402,3
qwen3_32b,Religion,1,0.6399156372851618,5
gpt_oss_120b,Age,2,0.8431024894799319,3
gpt_oss_120b,Education,2,0.8446132607209716,3
gpt_oss_120b,Gender,2,0.8582001854154407,2
gpt_oss_120b,Loneliness,2,0.8675100017860502,2
gpt_oss_120b,Political,2,0.8042461021458851,3
gpt_oss_120b,Race,2,0.8274420626254605,3
gpt_oss_120b,Religion,2,0.866378893777132,5
mistral_medium,Age,2,0.8764722275905211,3
mistral_medium,Education,2,0.8342870373828017,3
mistral_medium,Gender,2,0.8409366055122719,2
mistral_medium,Loneliness,2,0.8926862348178137,2
mistral_medium,Political,2,0.5763790123724664,3
mistral_medium,Race,2,0.8319973164111247,3
mistral_medium,Religion,2,0.8156671298750938,5
qwen3_32b,Age,2,0.5849495288899945,3
qwen3_32b,Education,2,0.5302098126623473,3
qwen3_32b,Gender,2,0.6728733744432107,2
qwen3_32b,Loneliness,2,0.5633882495715046,2
qwen3_32b,Political,2,0.5142297527157025,3
qwen3_32b,Race,2,0.6318391534923706,3
qwen3_32b,Religion,2,0.6269190103348252,5
gpt_oss_120b,Age,3,0.8405316709387298,3
gpt_oss_120b,Education,3,0.8720107764132844,3
gpt_oss_120b,Gender,3,0.832682229589014,2
gpt_oss_120b,Loneliness,3,0.8535823535169664,2
gpt_oss_120b,Political,3,0.808522956273018,3
gpt_oss_120b,Race,3,0.8439431905707998,3
gpt_oss_120b,Religion,3,0.8668111524564723,5
mistral_medium,Age,3,0.8769409154904239,3
mistral_medium,Education,3,0.8362038939807056,3
mistral_medium,Gender,3,0.8353556260117289,2
mistral_medium,Loneliness,3,0.9026214530557682,2
mistral_medium,Political,3,0.5717062762941495,3
mistral_medium,Race,3,0.8287616227919671,3
mistral_medium,Religion,3,0.828389443101293,5
qwen3_32b,Age,3,0.6321107978392061,3
qwen3_32b,Education,3,0.4853339921645946,3
qwen3_32b,Gender,3,0.632892639078536,2
qwen3_32b,Loneliness,3,0.5362871478871273,2
qwen3_32b,Political,3,0.5519240978735058,3
qwen3_32b,Race,3,0.6582774372718425,3
qwen3_32b,Religion,3,0.6282640349420451,5
