model,group,personas_in_group,avg_personas_with_data,avg_questions_covered,krippendorff_alpha_mean,krippendorff_alpha_std,valid_runs,total_runs
gpt_oss_120b,Age,3,3.0,500.0,0.7431094349258106,0.010799225526370476,3,3
gpt_oss_120b,Education,3,3.0,500.0,0.7516122200039289,0.002210200957582882,3,3
gpt_oss_120b,Gender,2,2.0,500.0,0.7428871748807726,0.006165905754355381,3,3
gpt_oss_120b,Loneliness,2,2.0,500.0,0.7555082647245116,0.010129404462579485,3,3
gpt_oss_120b,Political,3,3.0,500.0,0.7335414806079862,0.007898297493886175,3,3
gpt_oss_120b,Race,3,3.0,500.0,0.7143557703752172,0.0030402669143802267,3,3
gpt_oss_120b,Religion,5,5.0,500.0,0.7247008572014636,0.005525826128579324,3,3
mistral_medium,Age,3,3.0,500.0,0.8322792761145751,0.00548701095554455,3,3
mistral_medium,Education,3,3.0,500.0,0.7821852538747684,0.004550982495140205,3,3
mistral_medium,Gender,2,2.0,500.0,0.8109794273914112,0.003667514519195385,3,3
mistral_medium,Loneliness,2,2.0,500.0,0.8175056120237755,0.009978530557100665,3,3
mistral_medium,Political,3,3.0,500.0,0.7481959091214921,0.007535881308053892,3,3
mistral_medium,Race,3,3.0,500.0,0.7771263791334765,0.011156416990057455,3,3
mistral_medium,Religion,5,5.0,500.0,0.7842947658169811,0.005703161400658443,3,3
qwen3_32b,Age,3,3.0,500.0,0.6844856884028125,0.0050673713055137525,3,3
qwen3_32b,Education,3,3.0,500.0,0.6576654013873126,0.008816086545979578,3,3
qwen3_32b,Gender,2,2.0,500.0,0.678054288986088,0.003374392475131871,3,3
qwen3_32b,Loneliness,2,2.0,500.0,0.6579895375350918,0.0030545068526554964,3,3
qwen3_32b,Political,3,3.0,500.0,0.6559626286698769,0.0017837478539105764,3,3
qwen3_32b,Race,3,3.0,500.0,0.6588041252056684,0.009147886918389051,3,3
qwen3_32b,Religion,5,5.0,500.0,0.6521403693371436,0.003962508669649268,3,3
