model,run,group,personas_in_group,personas_with_data,questions_covered,krippendorff_alpha
gpt_oss_120b,r1,Age,3,3,500,0.7574946752751054
gpt_oss_120b,r1,Education,3,3,500,0.7515391617929587
gpt_oss_120b,r1,Gender,2,2,500,0.7492239009653974
gpt_oss_120b,r1,Loneliness,2,2,500,0.7414868136059354
gpt_oss_120b,r1,Political,3,3,500,0.7325747184561345
gpt_oss_120b,r1,Race,3,3,500,0.7186544155445915
gpt_oss_120b,r1,Religion,5,5,500,0.7303153209497535
mistral_medium,r1,Age,3,3,500,0.8334693437295616
mistral_medium,r1,Education,3,3,500,0.7766387922120348
mistral_medium,r1,Gender,2,2,500,0.8063435231689601
mistral_medium,r1,Loneliness,2,2,500,0.8179975696927426
mistral_medium,r1,Political,3,3,500,0.7587821676953843
mistral_medium,r1,Race,3,3,500,0.7916970166959095
mistral_medium,r1,Religion,5,5,500,0.7905656022121151
qwen3_32b,r1,Age,3,3,500,0.6783709638981246
qwen3_32b,r1,Education,3,3,500,0.6623786357924689
qwen3_32b,r1,Gender,2,2,500,0.6781801330977402
qwen3_32b,r1,Loneliness,2,2,500,0.6536808264105676
qwen3_32b,r1,Political,3,3,500,0.6583396224250081
qwen3_32b,r1,Race,3,3,500,0.6476846778416849
qwen3_32b,r1,Religion,5,5,500,0.6548743064508478
gpt_oss_120b,r2,Age,3,3,500,0.7314745683572895
gpt_oss_120b,r2,Education,3,3,500,0.754354941874667
gpt_oss_120b,r2,Gender,2,2,500,0.7449064912381257
gpt_oss_120b,r2,Loneliness,2,2,500,0.7599780389763519
gpt_oss_120b,r2,Political,3,3,500,0.724387762371401
gpt_oss_120b,r2,Race,3,3,500,0.7121285270174765
gpt_oss_120b,r2,Religion,5,5,500,0.7171861335090264
mistral_medium,r2,Age,3,3,500,0.8250435542295391
mistral_medium,r2,Education,3,3,500,0.7877859809085161
mistral_medium,r2,Gender,2,2,500,0.8153116506246455
mistral_medium,r2,Loneliness,2,2,500,0.805045907657848
mistral_medium,r2,Political,3,3,500,0.741838539406525
mistral_medium,r2,Race,3,3,500,0.7645997961104739
mistral_medium,r2,Religion,5,5,500,0.7855521295536831
qwen3_32b,r2,Age,3,3,500,0.684306542336653
qwen3_32b,r2,Education,3,3,500,0.6453125779513256
qwen3_32b,r2,Gender,2,2,500,0.6738600342991353
qwen3_32b,r2,Loneliness,2,2,500,0.6604108659488378
qwen3_32b,r2,Political,3,3,500,0.6540426537505722
qwen3_32b,r2,Race,3,3,500,0.6700904683395839
qwen3_32b,r2,Religion,5,5,500,0.655009720330243
gpt_oss_120b,r3,Age,3,3,500,0.740359061145037
gpt_oss_120b,r3,Education,3,3,500,0.748942556344161
gpt_oss_120b,r3,Gender,2,2,500,0.7345311324387944
gpt_oss_120b,r3,Loneliness,2,2,500,0.7650599415912476
gpt_oss_120b,r3,Political,3,3,500,0.7436619609964233
gpt_oss_120b,r3,Race,3,3,500,0.7122843685635833
gpt_oss_120b,r3,Religion,5,5,500,0.726601117145611
mistral_medium,r3,Age,3,3,500,0.8383249303846247
mistral_medium,r3,Education,3,3,500,0.7821309885037544
mistral_medium,r3,Gender,2,2,500,0.8112831083806279
mistral_medium,r3,Loneliness,2,2,500,0.8294733587207359
mistral_medium,r3,Political,3,3,500,0.743967020262567
mistral_medium,r3,Race,3,3,500,0.7750823245940459
mistral_medium,r3,Religion,5,5,500,0.7767665656851455
qwen3_32b,r3,Age,3,3,500,0.6907795589736601
qwen3_32b,r3,Education,3,3,500,0.6653049904181432
qwen3_32b,r3,Gender,2,2,500,0.6821226995613886
qwen3_32b,r3,Loneliness,2,2,500,0.6598769202458703
qwen3_32b,r3,Political,3,3,500,0.6555056098340505
qwen3_32b,r3,Race,3,3,500,0.6586372294357365
qwen3_32b,r3,Religion,5,5,500,0.6465370812303399
