model,group,accuracy_mean,accuracy_std,macro_f1_3class_mean,macro_f1_3class_std,macro_f1_binary_mean,macro_f1_binary_std,correct_mean,total_mean,missing_mean,true_pos_mean,true_neg_mean,true_neutral_mean,pred_pos_mean,pred_neg_mean,pred_neutral_mean,valid_runs,total_runs
gpt_oss_120b,BO,0.9391634980988594,0.005377237879745603,0.6585144860345576,0.028348131842916027,0.9826397434776534,0.0018840294252014777,247.0,263.0,0.0,134.0,118.0,11.0,140.66666666666666,121.0,1.3333333333333333,3,3
gpt_oss_120b,BY,0.7731305449936628,0.0017924126265818324,0.5729123299959116,0.006391661970613256,0.9323727317075429,0.0021245681559706312,203.33333333333334,263.0,0.0,111.0,107.0,45.0,140.66666666666666,121.0,1.3333333333333333,3,3
gpt_oss_120b,LO,0.8833967046894804,0.0017924126265818849,0.6071571893668445,0.0011237816380371525,0.9413210114633207,0.0018650633116667533,232.33333333333334,263.0,0.0,138.0,110.0,15.0,140.66666666666666,121.0,1.3333333333333333,3,3
gpt_oss_120b,LY,0.8910012674271228,0.0017924126265818849,0.6193669568808157,0.001078755070558288,0.9696201342420077,0.001920118840334183,234.33333333333334,263.0,0.0,123.0,120.0,20.0,140.66666666666666,121.0,1.3333333333333333,3,3
gpt_oss_120b,WO,0.9100126742712294,0.0017924126265818849,0.6248711056008649,0.0011255595828985985,0.9699545517442818,0.0018955738359103928,239.33333333333334,263.0,0.0,135.0,113.0,15.0,140.66666666666666,121.0,1.3333333333333333,3,3
gpt_oss_120b,WY,0.8593155893536122,0.003104549737367806,0.6094408330892812,0.013444907480655655,0.944124040291643,0.0018130840269419473,226.0,263.0,0.0,124.0,116.0,23.0,140.66666666666666,121.0,1.3333333333333333,3,3
mistral_medium,BO,0.9404309252217997,0.0017924126265818326,0.6422076504193294,0.0005923909113975031,0.9879581773481171,1.9690260256061042e-05,247.33333333333334,263.0,0.0,134.0,118.0,11.0,139.33333333333334,122.0,1.6666666666666667,3,3
mistral_medium,BY,0.7655259822560203,0.0017924126265818849,0.5599894840821092,0.0007262008554018291,0.9305326778607759,0.00013844479318388906,201.33333333333334,263.0,0.0,111.0,107.0,45.0,139.33333333333334,122.0,1.6666666666666667,3,3
mistral_medium,LO,0.8846641318124209,0.0017924126265818849,0.6084594791489105,0.0018769923129382951,0.9440231115265627,0.003769356635146929,232.66666666666666,263.0,0.0,138.0,110.0,15.0,139.33333333333334,122.0,1.6666666666666667,3,3
mistral_medium,LY,0.8998732572877058,0.0017924126265818849,0.6541679799108233,0.0011702600515091843,0.9724778567523237,0.0038374750738423107,236.66666666666666,263.0,0.0,123.0,120.0,20.0,139.33333333333334,122.0,1.6666666666666667,3,3
mistral_medium,WO,0.9188846641318125,0.0017924126265818849,0.6690855002248349,0.0007324599779865354,0.9728096794273265,0.003799075882425376,241.66666666666666,263.0,0.0,135.0,113.0,15.0,139.33333333333334,122.0,1.6666666666666667,3,3
mistral_medium,WY,0.8681875792141951,0.0017924126265818849,0.6322055168420636,0.0011846217995681997,0.9498132523038244,9.272315515167883e-05,228.33333333333334,263.0,0.0,124.0,116.0,23.0,139.33333333333334,122.0,1.6666666666666667,3,3
qwen3_32b,BO,0.9366286438529784,0.0047422780567476985,0.6713423236413291,0.02559482808925066,0.97996911179209,0.003258265438530447,246.33333333333334,263.0,0.0,134.0,118.0,11.0,138.66666666666666,122.33333333333333,2.0,3,3
qwen3_32b,BY,0.7743979721166033,0.0017924126265818326,0.578251428706365,0.0008916273481429837,0.9338312845419358,0.0019534162976848676,203.66666666666666,263.0,0.0,111.0,107.0,45.0,138.66666666666666,122.33333333333333,2.0,3,3
qwen3_32b,LO,0.8783269961977186,0.009313649212103328,0.6168676432106398,0.022976091585497134,0.9358744332653872,0.005275873589091504,231.0,263.0,0.0,138.0,110.0,15.0,138.66666666666666,122.33333333333333,2.0,3,3
qwen3_32b,LY,0.8833967046894804,0.006462635631929987,0.6148943828440298,0.0038398437953420044,0.9640078753331488,0.005221102590124782,232.33333333333334,263.0,0.0,123.0,120.0,20.0,138.66666666666666,122.33333333333333,2.0,3,3
qwen3_32b,WO,0.9049429657794676,0.003104549737367761,0.6339008473347283,0.01541430390948308,0.9645136657505518,0.005067918276842492,238.0,263.0,0.0,135.0,113.0,15.0,138.66666666666666,122.33333333333333,2.0,3,3
qwen3_32b,WY,0.8593155893536122,0.003104549737367806,0.6177964835790543,0.013149277688555654,0.9440672139519833,0.0017433252390555275,226.0,263.0,0.0,124.0,116.0,23.0,138.66666666666666,122.33333333333333,2.0,3,3
