model,run,group,accuracy,macro_f1_3class,macro_f1_binary,correct,total,missing,true_pos_count,true_neg_count,true_neutral_count,pred_pos_count,pred_neg_count,pred_neutral_count
gpt_oss_120b,r1,BO,0.9467680608365019,0.6986009732360098,0.984045584045584,249,263,0,134,118,11,140,122,1
gpt_oss_120b,r1,BY,0.7718631178707225,0.5639276953322083,0.9353727025187202,203,263,0,111,107,45,140,122,1
gpt_oss_120b,r1,LO,0.8859315589353612,0.6086785743818738,0.9428240740740741,233,263,0,138,110,15,140,122,1
gpt_oss_120b,r1,LY,0.8935361216730038,0.6207669505284438,0.971050158079125,235,263,0,123,120,20,140,122,1
gpt_oss_120b,r1,WO,0.9125475285171103,0.6263829787234042,0.9713898035841345,240,263,0,135,113,15,140,122,1
gpt_oss_120b,r1,WY,0.8593155893536122,0.6007766743060861,0.9455456823877877,226,263,0,124,116,23,140,122,1
mistral_medium,r1,BO,0.9391634980988594,0.6417887667887668,0.9879442542315667,247,263,0,134,118,11,139,122,2
mistral_medium,r1,BY,0.7642585551330798,0.5594759825327511,0.9304347826086956,201,263,0,111,107,45,139,122,2
mistral_medium,r1,LO,0.8859315589353612,0.6097867131416241,0.9466884491639855,233,263,0,138,110,15,139,122,2
mistral_medium,r1,LY,0.9011406844106464,0.6549954787289972,0.9751913613996719,237,263,0,123,120,20,139,122,2
mistral_medium,r1,WO,0.9201520912547528,0.669603427642217,0.9754960317460317,242,263,0,135,113,15,139,122,2
mistral_medium,r1,WY,0.8669201520912547,0.6313678627344474,0.9497476871320437,228,263,0,124,116,23,139,122,2
qwen3_32b,r1,BO,0.935361216730038,0.6853641456582632,0.9799070903859446,246,263,0,134,118,11,138,122,3
qwen3_32b,r1,BY,0.7718631178707225,0.57716674558496,0.9350459661482946,203,263,0,111,107,45,138,122,3
qwen3_32b,r1,LO,0.8669201520912547,0.5979093786440114,0.9300482020792395,228,263,0,138,110,15,138,122,3
qwen3_32b,r1,LY,0.8745247148288974,0.6099447980325724,0.9583072753804461,230,263,0,123,120,20,138,122,3
qwen3_32b,r1,WO,0.9011406844106464,0.6556014513461322,0.9590218550106611,237,263,0,135,113,15,138,122,3
qwen3_32b,r1,WY,0.8593155893536122,0.6258719577085091,0.9452999310503332,226,263,0,124,116,23,138,122,3
gpt_oss_120b,r2,BO,0.935361216730038,0.6389508530685001,0.9838969404186795,246,263,0,134,118,11,141,120,2
gpt_oss_120b,r2,BY,0.7718631178707225,0.5765460035775903,0.9307284683649365,203,263,0,111,107,45,141,120,2
gpt_oss_120b,r2,LO,0.8821292775665399,0.6067944522362475,0.9424465240641711,232,263,0,138,110,15,141,120,2
gpt_oss_120b,r2,LY,0.8897338403041825,0.6191919191919192,0.9709042617409152,234,263,0,123,120,20,141,120,2
gpt_oss_120b,r2,WO,0.908745247148289,0.6245464535257407,0.9711977520196697,239,263,0,135,113,15,141,120,2
gpt_oss_120b,r2,WY,0.8555133079847909,0.5991152329175994,0.9452612210958371,225,263,0,124,116,23,141,120,2
mistral_medium,r2,BO,0.9429657794676806,0.6430454176804542,0.9879860235812179,248,263,0,134,118,11,140,122,1
mistral_medium,r2,BY,0.7680608365019012,0.5610164871808254,0.9307284683649365,202,263,0,111,107,45,140,122,1
mistral_medium,r2,LO,0.8821292775665399,0.6058050111634831,0.9386924362517168,232,263,0,138,110,15,140,122,1
mistral_medium,r2,LY,0.8973384030418251,0.6525129822744756,0.9670508474576271,236,263,0,123,120,20,140,122,1
mistral_medium,r2,WO,0.9163498098859315,0.668049645390071,0.967436974789916,241,263,0,135,113,15,140,122,1
mistral_medium,r2,WY,0.870722433460076,0.6338808250572957,0.949944382647386,229,263,0,124,116,23,140,122,1
qwen3_32b,r2,BO,0.9315589353612167,0.6354318586938908,0.9760099401044985,245,263,0,134,118,11,138,124,1
qwen3_32b,r2,BY,0.7756653992395437,0.5782369077287882,0.9310751849587926,204,263,0,111,107,45,138,124,1
qwen3_32b,r2,LO,0.8783269961977186,0.6034931252322556,0.9347510236428478,231,263,0,138,110,15,138,124,1
qwen3_32b,r2,LY,0.8859315589353612,0.6154345413814041,0.9627940347460667,233,263,0,123,120,20,138,124,1
qwen3_32b,r2,WO,0.9049429657794676,0.6212577858147478,0.963271375464684,238,263,0,135,113,15,138,124,1
qwen3_32b,r2,WY,0.8631178707224335,0.6282654792196777,0.9416017797552837,227,263,0,124,116,23,138,124,1
gpt_oss_120b,r3,BO,0.935361216730038,0.6379916317991632,0.9799767059686967,246,263,0,134,118,11,141,121,1
gpt_oss_120b,r3,BY,0.7756653992395437,0.5782632910779363,0.9310170242389721,204,263,0,111,107,45,141,121,1
gpt_oss_120b,r3,LO,0.8821292775665399,0.6059985414824124,0.9386924362517168,232,263,0,138,110,15,141,121,1
gpt_oss_120b,r3,LY,0.8897338403041825,0.6181420009220839,0.966905982905983,234,263,0,123,120,20,141,121,1
gpt_oss_120b,r3,WO,0.908745247148289,0.6236838845534498,0.9672760996290408,239,263,0,135,113,15,141,121,1
gpt_oss_120b,r3,WY,0.8631178707224335,0.6284305920441579,0.9415652173913043,227,263,0,124,116,23,141,121,1
mistral_medium,r3,BO,0.9391634980988594,0.6417887667887668,0.9879442542315667,247,263,0,134,118,11,139,122,2
mistral_medium,r3,BY,0.7642585551330798,0.5594759825327511,0.9304347826086956,201,263,0,111,107,45,139,122,2
mistral_medium,r3,LO,0.8859315589353612,0.6097867131416241,0.9466884491639855,233,263,0,138,110,15,139,122,2
mistral_medium,r3,LY,0.9011406844106464,0.6549954787289972,0.9751913613996719,237,263,0,123,120,20,139,122,2
mistral_medium,r3,WO,0.9201520912547528,0.669603427642217,0.9754960317460317,242,263,0,135,113,15,139,122,2
mistral_medium,r3,WY,0.8669201520912547,0.6313678627344474,0.9497476871320437,228,263,0,124,116,23,139,122,2
qwen3_32b,r3,BO,0.9429657794676806,0.6932309665718334,0.9839903048858272,248,263,0,134,118,11,140,121,2
qwen3_32b,r3,BY,0.7756653992395437,0.5793506328053469,0.9353727025187202,204,263,0,111,107,45,140,121,2
qwen3_32b,r3,LO,0.8897338403041825,0.6492004257556522,0.9428240740740741,234,263,0,138,110,15,140,121,2
qwen3_32b,r3,LY,0.8897338403041825,0.6193038091181126,0.9709223158729338,234,263,0,123,120,20,140,121,2
qwen3_32b,r3,WO,0.908745247148289,0.6248433048433047,0.9712477667763103,239,263,0,135,113,15,140,121,2
qwen3_32b,r3,WY,0.8555133079847909,0.5992520138089757,0.9452999310503332,225,263,0,124,116,23,140,121,2
