model,group,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
gpt_oss_120b,BO,0.6113713294485442,0.005057183039216242,0.4993662864385298,0.007169650506327487,263.0,263
gpt_oss_120b,BY,0.5181727202221246,0.006467173109567733,0.39036755386565275,0.00646263563193003,263.0,263
gpt_oss_120b,LO,0.5684135636539988,0.008737966592649431,0.4423320659062104,0.013999190135852047,263.0,263
gpt_oss_120b,LY,0.5704085368609341,0.00237264574217348,0.4613434727503169,0.009484556113495407,263.0,263
gpt_oss_120b,WO,0.6500222164790171,0.0036246578515323046,0.5665399239543726,0.021731848161574436,263.0,263
gpt_oss_120b,WY,0.5840281492629599,0.004204330249249854,0.4499366286438529,0.009484556113495402,263.0,263
mistral_medium,BO,0.5975467997660217,0.00322298702772777,0.47021546261089986,0.0035848252531637437,263.0,263
mistral_medium,BY,0.5149683038448107,0.0017776762544454733,0.394169835234474,0.0064626356319300235,263.0,263
mistral_medium,LO,0.5482171881494079,0.003944726048265723,0.3827629911280101,0.0035848252531637437,263.0,263
mistral_medium,LY,0.5687351078732966,0.0014756484361836803,0.4258555133079848,0.008213866537906036,263.0,263
mistral_medium,WO,0.6389255274639926,0.0017781038655164528,0.550063371356147,0.0064626356319300235,263.0,263
mistral_medium,WY,0.5814793138675449,0.0026966884069879035,0.4245880861850444,0.0017924126265818588,263.0,263
qwen3_32b,BO,0.614328712902029,0.0024713609497434555,0.4955640050697085,0.0047422780567476985,263.0,263
qwen3_32b,BY,0.5117738429410723,0.008927687873664688,0.36375158428390364,0.01765321708134868,263.0,263
qwen3_32b,LO,0.5543774006841015,0.005009556215923887,0.4005069708491762,0.013999190135852047,263.0,263
qwen3_32b,LY,0.5712954737152176,0.0024217664237885963,0.4233206590621039,0.010902820363805615,263.0,263
qwen3_32b,WO,0.6386611170703883,0.0033138214641083266,0.5538656527249682,0.0071696505063274865,263.0,263
qwen3_32b,WY,0.596051500353736,0.004395332317215291,0.47021546261089986,0.008962063132909346,263.0,263
