model,run,group,token_f1,iou_f1,n_eval,missing,gt_total
gpt_oss_120b,r1,BO,0.6058665927673331,0.49429657794676807,263,0,263
gpt_oss_120b,r1,BY,0.5269540264200856,0.39923954372623577,263,0,263
gpt_oss_120b,r1,LO,0.5631803599907993,0.44106463878326996,263,0,263
gpt_oss_120b,r1,LY,0.5678479676612445,0.44866920152091255,263,0,263
gpt_oss_120b,r1,WO,0.6449001563504161,0.5361216730038023,263,0,263
gpt_oss_120b,r1,WY,0.5821997688203094,0.4372623574144487,263,0,263
gpt_oss_120b,r2,BO,0.6101694524766912,0.49429657794676807,263,0,263
gpt_oss_120b,r2,BY,0.5115677979125665,0.38783269961977185,263,0,263
gpt_oss_120b,r2,LO,0.5613354104693028,0.42585551330798477,263,0,263
gpt_oss_120b,r2,LY,0.5735667953043085,0.46387832699619774,263,0,263
gpt_oss_120b,r2,WO,0.6524083413110956,0.5779467680608364,263,0,263
gpt_oss_120b,r2,WY,0.5800426090850861,0.4600760456273764,263,0,263
gpt_oss_120b,r3,BO,0.6180779431016085,0.5095057034220533,263,0,263
gpt_oss_120b,r3,BY,0.5159963363337214,0.3840304182509506,263,0,263
gpt_oss_120b,r3,LO,0.5807249205018944,0.4600760456273764,263,0,263
gpt_oss_120b,r3,LY,0.5698108476172492,0.4714828897338403,263,0,263
gpt_oss_120b,r3,WO,0.6527581517755398,0.5855513307984791,263,0,263
gpt_oss_120b,r3,WY,0.5898420698834843,0.4524714828897338,263,0,263
mistral_medium,r1,BO,0.6006608496698845,0.467680608365019,263,0,263
mistral_medium,r1,BY,0.512493612595744,0.38783269961977185,263,0,263
mistral_medium,r1,LO,0.5463647122439709,0.38022813688212925,263,0,263
mistral_medium,r1,LY,0.5688279985614266,0.4220532319391635,263,0,263
mistral_medium,r1,WO,0.6408000975943791,0.55893536121673,263,0,263
mistral_medium,r1,WY,0.5825407986142408,0.4220532319391635,263,0,263
mistral_medium,r2,BO,0.5931073300238919,0.467680608365019,263,0,263
mistral_medium,r2,BY,0.5158220784657822,0.3916349809885932,263,0,263
mistral_medium,r2,LO,0.5445862838881255,0.38022813688212925,263,0,263
mistral_medium,r2,LY,0.5668831609504836,0.41825095057034223,263,0,263
mistral_medium,r2,WO,0.6394397830129552,0.5475285171102662,263,0,263
mistral_medium,r2,WY,0.5777763277857197,0.42585551330798477,263,0,263
mistral_medium,r3,BO,0.5988722196042883,0.4752851711026616,263,0,263
mistral_medium,r3,BY,0.5165892204729059,0.40304182509505704,263,0,263
mistral_medium,r3,LO,0.5537005683161276,0.38783269961977185,263,0,263
mistral_medium,r3,LY,0.5704941641079794,0.4372623574144487,263,0,263
mistral_medium,r3,WO,0.6365367017846435,0.5437262357414449,263,0,263
mistral_medium,r3,WY,0.5841208152026742,0.42585551330798477,263,0,263
qwen3_32b,r1,BO,0.6112880151345305,0.49049429657794674,263,0,263
qwen3_32b,r1,BY,0.5059623223568905,0.3574144486692015,263,0,263
qwen3_32b,r1,LO,0.5487146289650481,0.39923954372623577,263,0,263
qwen3_32b,r1,LY,0.5731412880623588,0.4220532319391635,263,0,263
qwen3_32b,r1,WO,0.6374437173649059,0.5437262357414449,263,0,263
qwen3_32b,r1,WY,0.5972227826737596,0.4828897338403042,263,0,263
qwen3_32b,r2,BO,0.6143567296408041,0.49429657794676807,263,0,263
qwen3_32b,r2,BY,0.504972642456015,0.34600760456273766,263,0,263
qwen3_32b,r2,LO,0.5535218850580755,0.41825095057034223,263,0,263
qwen3_32b,r2,LY,0.5678741358413872,0.4372623574144487,263,0,263
qwen3_32b,r2,WO,0.6353505602956814,0.55893536121673,263,0,263
qwen3_32b,r2,WY,0.5901791312299232,0.46387832699619774,263,0,263
qwen3_32b,r3,BO,0.6173413939307522,0.5019011406844106,263,0,263
qwen3_32b,r3,BY,0.5243865640103114,0.38783269961977185,263,0,263
qwen3_32b,r3,LO,0.5608956880291807,0.3840304182509506,263,0,263
qwen3_32b,r3,LY,0.5728709972419068,0.41064638783269963,263,0,263
qwen3_32b,r3,WO,0.6431890735505776,0.55893536121673,263,0,263
qwen3_32b,r3,WY,0.6007525871575252,0.46387832699619774,263,0,263
