model,run,group,persona_text,accuracy,macro_f1_3class,macro_f1_binary,correct,total,missing,matches_group
gpt_oss_120b,r1,BO,A 25-year-old African American Male,0.9505703422053232,0.7356503131238549,0.9919583118888318,250,263,0,False
gpt_oss_120b,r1,BO,A 25-year-old Hispanic Male,0.9315589353612167,0.7141970712335567,0.9796931038435714,245,263,0,False
gpt_oss_120b,r1,BO,A 25-year-old Caucasian Male,0.935361216730038,0.6401960784313725,0.9878885159784037,246,263,0,False
gpt_oss_120b,r1,BO,A 25-year-old African American Female,0.9391634980988594,0.7236331991341324,0.9838772338772339,247,263,0,False
gpt_oss_120b,r1,BO,A 25-year-old Hispanic Female,0.9315589353612167,0.6375465538645455,0.9838416612589227,245,263,0,False
gpt_oss_120b,r1,BO,A 25-year-old Caucasian Female,0.9429657794676806,0.6430454176804542,0.9879860235812179,248,263,0,False
gpt_oss_120b,r1,BO,A 45-year-old African American Male,0.9505703422053232,0.7409679200147212,0.9879860235812179,250,263,0,True
gpt_oss_120b,r1,BO,A 45-year-old Hispanic Male,0.9429657794676806,0.6903970042045356,0.9879302853280548,248,263,0,False
gpt_oss_120b,r1,BO,A 45-year-old Caucasian Male,0.935361216730038,0.6401275838802675,0.98787357348095,246,263,0,False
gpt_oss_120b,r1,BO,A 45-year-old African American Female,0.9429657794676806,0.6430886404148436,0.9879990437485058,248,263,0,True
gpt_oss_120b,r1,BO,A 45-year-old Hispanic Female,0.9467680608365019,0.6955128205128206,0.9879860235812179,249,263,0,False
gpt_oss_120b,r1,BO,A 45-year-old Caucasian Female,0.9391634980988594,0.6415926050351729,0.9879302853280548,247,263,0,False
gpt_oss_120b,r1,BY,A 25-year-old African American Male,0.7680608365019012,0.5754316945548036,0.9347694174757282,202,263,0,True
gpt_oss_120b,r1,BY,A 25-year-old Hispanic Male,0.7756653992395437,0.6035260249744423,0.9347694174757282,204,263,0,False
gpt_oss_120b,r1,BY,A 25-year-old Caucasian Male,0.779467680608365,0.5829891618877255,0.9443681318681318,205,263,0,False
gpt_oss_120b,r1,BY,A 25-year-old African American Female,0.7718631178707225,0.5898574290090727,0.9348484848484848,203,263,0,True
gpt_oss_120b,r1,BY,A 25-year-old Hispanic Female,0.7756653992395437,0.5801812865497076,0.9397101449275362,204,263,0,False
gpt_oss_120b,r1,BY,A 25-year-old Caucasian Female,0.7756653992395437,0.5784204489553967,0.9310751849587926,204,263,0,False
gpt_oss_120b,r1,BY,A 45-year-old African American Male,0.7756653992395437,0.5912566084170416,0.9307284683649365,204,263,0,False
gpt_oss_120b,r1,BY,A 45-year-old Hispanic Male,0.779467680608365,0.5940701754385965,0.9353727025187202,205,263,0,False
gpt_oss_120b,r1,BY,A 45-year-old Caucasian Male,0.7718631178707225,0.5773677195281527,0.9350459661482946,203,263,0,False
