model,group,persona_code,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
gpt_oss_120b,BO,25_m_b,0.5975795542279191,0.004957094996442353,0.47207790323048787,0.0024127771818332464,262.6666666666667,263
gpt_oss_120b,BO,25_m_l,0.5949364681486736,0.009079224058957705,0.47782002534854245,0.008962063132909346,263.0,263
gpt_oss_120b,BO,25_m_w,0.5982286303622711,0.007214854490078355,0.4892268694550064,0.02585054252772009,263.0,263
gpt_oss_120b,BO,25_f_b,0.5850660941695742,0.005585004049952001,0.45754119138149557,0.00997973114576908,263.0,263
gpt_oss_120b,BO,25_f_l,0.5993537227870386,0.008267200132864892,0.4930291508238276,0.019959462291538176,263.0,263
gpt_oss_120b,BO,25_f_w,0.592210005303085,0.009336353777705468,0.458808618504436,0.021805640727611222,263.0,263
gpt_oss_120b,BO,45_m_b,0.5982623904402089,0.008954175404971688,0.47908745247148293,0.020357894048427125,263.0,263
gpt_oss_120b,BO,45_m_l,0.5920015143759492,0.0021541984030519104,0.46894803548795944,0.009979731145769097,263.0,263
gpt_oss_120b,BO,45_m_w,0.5997651689452129,0.004974298400002335,0.49429657794676807,0.00821386653790601,263.0,263
gpt_oss_120b,BO,45_f_b,0.5947855632459893,0.006502147899728183,0.46894803548795944,0.0071696505063274605,263.0,263
gpt_oss_120b,BO,45_f_l,0.60637918180857,0.006745469489415914,0.49429657794676807,0.006209099474735544,263.0,263
gpt_oss_120b,BO,45_f_w,0.5957704731079689,0.009454497994713852,0.4828897338403042,0.0031045497373677834,263.0,263
gpt_oss_120b,BY,25_m_b,0.5154124432888437,0.001851426930935062,0.38450933155313033,0.005632741755533926,262.6666666666667,263
gpt_oss_120b,BY,25_m_l,0.5207897397028219,0.004351927931620317,0.3967046894803549,0.0017924126265818849,263.0,263
gpt_oss_120b,BY,25_m_w,0.5187319076053941,0.005323595175969107,0.3967046894803549,0.009484556113495407,263.0,263
gpt_oss_120b,BY,25_f_b,0.5199982306849728,0.0014424268972701008,0.3979721166032953,0.010902820363805615,263.0,263
gpt_oss_120b,BY,25_f_l,0.5264690622773865,0.008956425246780822,0.41825095057034223,0.013532418570381876,263.0,263
gpt_oss_120b,BY,25_f_w,0.528062225732604,0.002250225258837296,0.40937896070975915,0.011753635608993267,263.0,263
gpt_oss_120b,BY,45_m_b,0.5199490396834477,0.005092395732795344,0.3979721166032953,0.007812945504396675,263.0,263
gpt_oss_120b,BY,45_m_l,0.5234862284043919,0.0037663688260501,0.3916349809885931,0.008213866537906036,263.0,263
gpt_oss_120b,BY,45_m_w,0.5206880267291368,0.001454485998922151,0.394169835234474,0.013999190135852047,263.0,263
gpt_oss_120b,BY,45_f_b,0.5215734752099642,0.007466112065996736,0.3967046894803549,0.007812945504396672,263.0,263
gpt_oss_120b,BY,45_f_l,0.5330846212630295,0.0033433124396112534,0.41444866920152096,0.005377237879745629,263.0,263
gpt_oss_120b,BY,45_f_w,0.5240174127626993,0.006980929718128399,0.4081115335868188,0.007812945504396675,263.0,263
gpt_oss_120b,LO,25_m_b,0.5523557543184288,0.007567349219114715,0.40860012190520417,0.019620507073856562,262.6666666666667,263
gpt_oss_120b,LO,25_m_l,0.5503594046926912,0.0035917720907962538,0.3992395437262357,0.00931364921210335,263.0,263
gpt_oss_120b,LO,25_m_w,0.5467659954183371,0.004297713544105913,0.41191381495564006,0.019959462291538176,263.0,263
gpt_oss_120b,LO,25_f_b,0.5458598467100586,0.005419963871296322,0.41064638783269963,0.005377237879745629,263.0,263
gpt_oss_120b,LO,25_f_l,0.5568561406141533,0.008866705863691003,0.4131812420785805,0.0064626356319300235,263.0,263
gpt_oss_120b,LO,25_f_w,0.5497201628793201,0.005625558545706429,0.40430925221799746,0.010902820363805615,263.0,263
gpt_oss_120b,LO,45_m_b,0.5473587756820444,0.005697873597463952,0.40430925221799746,0.017653217081348708,263.0,263
gpt_oss_120b,LO,45_m_l,0.5403669030962372,0.00042526260244150226,0.4005069708491762,0.006462635631930004,263.0,263
gpt_oss_120b,LO,45_m_w,0.5550431889620996,0.007706918939126692,0.42078580481622313,0.0125468883860731,263.0,263
gpt_oss_120b,LO,45_f_b,0.5475510649710268,0.00563385109733448,0.40684410646387836,0.0031045497373677834,263.0,263
gpt_oss_120b,LO,45_f_l,0.5458386309680976,0.0025665608224099594,0.403041825095057,0.013532418570381887,263.0,263
gpt_oss_120b,LO,45_f_w,0.5570365755474908,0.006116076674084466,0.4182509505703422,0.020357894048427125,263.0,263
gpt_oss_120b,LY,25_m_b,0.5645568181712389,0.004709737446848615,0.45178939424723535,0.007268915717728743,262.6666666666667,263
gpt_oss_120b,LY,25_m_l,0.5671919047754549,0.007537018200558572,0.4613434727503169,0.023507271217986576,263.0,263
gpt_oss_120b,LY,25_m_w,0.5754035289416519,0.0033257048052682974,0.47275031685678076,0.017098526696111595,263.0,263
gpt_oss_120b,LY,25_f_b,0.56218553063719,0.0020569970049708853,0.45373891001267425,0.010902820363805615,263.0,263
gpt_oss_120b,LY,25_f_l,0.5733615379189217,0.014277715640707282,0.47275031685678065,0.0334850312132393,263.0,263
gpt_oss_120b,LY,25_f_w,0.5654820568463538,0.007523499132738801,0.4423320659062104,0.023301364145564298,263.0,263
gpt_oss_120b,LY,45_m_b,0.568909464367508,0.003106118900681258,0.4600760456273764,0.0242473085801128,263.0,263
gpt_oss_120b,LY,45_m_l,0.5651615660195518,0.007072763920979048,0.4613434727503168,0.012925271263860028,263.0,263
gpt_oss_120b,LY,45_m_w,0.5702612997235629,0.003946379932613233,0.4638783269961977,0.011193613265307793,263.0,263
gpt_oss_120b,LY,45_f_b,0.5720413573167011,0.00784206106000533,0.4638783269961977,0.02173184816157447,263.0,263
gpt_oss_120b,LY,45_f_l,0.576479315973134,0.004764788917890953,0.47908745247148293,0.014226834170243131,263.0,263
gpt_oss_120b,LY,45_f_w,0.5735123825804135,0.003068966706926269,0.4550063371356147,0.010902820363805615,263.0,263
gpt_oss_120b,WO,25_m_b,0.6399680682787836,0.0024148536114862976,0.5520177246296888,0.007262232408162616,262.6666666666667,263
gpt_oss_120b,WO,25_m_l,0.6347029265043329,0.0027850390866795078,0.5411913814955639,0.02330136414556432,263.0,263
gpt_oss_120b,WO,25_m_w,0.6471427875261615,0.0009084789817749902,0.5551330798479087,0.014226834170243107,263.0,263
gpt_oss_120b,WO,25_f_b,0.627345842689167,0.007250847712087443,0.5183776932826363,0.009484556113495407,263.0,263
gpt_oss_120b,WO,25_f_l,0.6319927947684018,0.00823844573588199,0.5221799746514575,0.023711390283738552,263.0,263
gpt_oss_120b,WO,25_f_w,0.6324489033706259,0.006377347932994262,0.5335868187579215,0.023711390283738552,263.0,263
gpt_oss_120b,WO,45_m_b,0.633215120815482,0.002672406078202014,0.5285171102661598,0.005377237879745603,263.0,263
gpt_oss_120b,WO,45_m_l,0.6388817270718542,0.004866800854914316,0.5475285171102662,0.013532418570381902,263.0,263
gpt_oss_120b,WO,45_m_w,0.6370248568776385,0.005906134589884474,0.534854245880862,0.0064626356319300235,263.0,263
gpt_oss_120b,WO,45_f_b,0.6363522174527197,0.010213742444753043,0.5247148288973383,0.009313649212103373,263.0,263
gpt_oss_120b,WO,45_f_l,0.6392581566263354,0.006928938822554115,0.532319391634981,0.013532418570381902,263.0,263
gpt_oss_120b,WO,45_f_w,0.632797467252156,0.005269757698809122,0.532319391634981,0.011193613265307798,263.0,263
gpt_oss_120b,WY,25_m_b,0.5685236700493912,0.006449023085977273,0.4098868990605559,0.00895390473062791,262.6666666666667,263
gpt_oss_120b,WY,25_m_l,0.5703591111989438,0.0040251908718348306,0.4271229404309252,0.01896911222699083,263.0,263
gpt_oss_120b,WY,25_m_w,0.5631381771299103,0.0034948969775937546,0.41191381495564006,0.019716538892400548,263.0,263
gpt_oss_120b,WY,25_f_b,0.5640555293937054,0.005823733015791395,0.4081115335868188,0.00997973114576908,263.0,263
gpt_oss_120b,WY,25_f_l,0.5710106300418677,0.007863854821911934,0.4372623574144487,0.008213866537906036,263.0,263
gpt_oss_120b,WY,25_f_w,0.5651144647083902,0.010674522498778996,0.4182509505703422,0.011193613265307791,263.0,263
gpt_oss_120b,WY,45_m_b,0.5644683259144267,0.003963435771859263,0.4055766793409379,0.007812945504396672,263.0,263
gpt_oss_120b,WY,45_m_l,0.5642939475962382,0.0046428921900878925,0.40937896070975915,0.010902820363805615,263.0,263
gpt_oss_120b,WY,45_m_w,0.5734454396094274,0.007391014020557532,0.43346007604562736,0.029939193437307273,263.0,263
gpt_oss_120b,WY,45_f_b,0.5625312670163114,0.005442464047834101,0.4030418250950571,0.021508951518982435,263.0,263
gpt_oss_120b,WY,45_f_l,0.5708186266621844,0.003995327947243957,0.41698352344740175,0.013999190135852026,263.0,263
gpt_oss_120b,WY,45_f_w,0.5759563535112374,0.006228764256266669,0.4296577946768061,0.009313649212103328,263.0,263
mistral_medium,BO,25_m_b,0.5858576874260968,0.0026060461207034567,0.43852978453738906,0.009484556113495426,263.0,263
mistral_medium,BO,25_m_l,0.5966995334739257,0.003979451552308677,0.45373891001267425,0.01467152966133109,263.0,263
mistral_medium,BO,25_m_w,0.5930684901254457,0.006772476550936374,0.4461343472750317,0.00997973114576908,263.0,263
mistral_medium,BO,25_f_b,0.5854625986398275,0.00318344146085429,0.43599493029150826,0.010902820363805615,263.0,263
mistral_medium,BO,25_f_l,0.5910296639272774,0.004075836504550003,0.4499366286438529,0.006462635631930023,263.0,263
mistral_medium,BO,25_f_w,0.5964938384347193,0.007049421062624494,0.458808618504436,0.015931311901110943,263.0,263
mistral_medium,BO,45_m_b,0.5859997667272699,0.00028968060601344234,0.43599493029150826,0.007169650506327487,263.0,263
mistral_medium,BO,45_m_l,0.5909717290424106,0.0052810127066072925,0.4423320659062104,0.015625891008793344,263.0,263
mistral_medium,BO,45_m_w,0.5974473017803111,0.002590741388398488,0.45754119138149557,0.004742278056747724,263.0,263
mistral_medium,BO,45_f_b,0.5920135596199422,0.003209131741737618,0.44106463878326996,0.009313649212103328,263.0,263
mistral_medium,BO,45_f_l,0.5942648761536005,0.001122690050611271,0.44613434727503165,0.0017924126265818849,263.0,263
mistral_medium,BO,45_f_w,0.5889922698922551,0.0015293242671918198,0.4499366286438529,0.004742278056747724,263.0,263
mistral_medium,BY,25_m_b,0.5181160933287831,0.0025218037959912594,0.403041825095057,0.003104549737367761,263.0,263
mistral_medium,BY,25_m_l,0.5253242720649555,0.0025339191197345685,0.41064638783269963,0.0,263.0,263
mistral_medium,BY,25_m_w,0.5205362807485616,0.00682249316799174,0.40430925221799746,0.004742278056747704,263.0,263
mistral_medium,BY,25_f_b,0.5187832121487784,0.0034057328717014804,0.4081115335868188,0.012546888386073063,263.0,263
mistral_medium,BY,25_f_l,0.5234100978001565,0.0030782314460561584,0.41825095057034223,0.008213866537906036,263.0,263
mistral_medium,BY,25_f_w,0.5211625503734592,0.003234516855267749,0.4081115335868188,0.011753635608993285,263.0,263
mistral_medium,BY,45_m_b,0.5220686268930995,0.003312843466185788,0.403041825095057,0.008213866537906026,263.0,263
mistral_medium,BY,45_m_l,0.5222616667156523,0.006292838342217963,0.41191381495564006,0.013999190135852047,263.0,263
mistral_medium,BY,45_m_w,0.525236282344518,0.002685886179054536,0.41444866920152085,0.009313649212103328,263.0,263
mistral_medium,BY,45_f_b,0.5215888092086587,0.0033602282215212794,0.40684410646387836,0.00931364921210335,263.0,263
mistral_medium,BY,45_f_l,0.5222838904973313,0.003957079294392923,0.4055766793409379,0.008962063132909346,263.0,263
mistral_medium,BY,45_f_w,0.5191828756673401,0.004680110357086183,0.40937896070975915,0.004742278056747704,263.0,263
mistral_medium,LO,25_m_b,0.5384032382153922,0.0024597573206839238,0.35868187579214195,0.004742278056747704,263.0,263
mistral_medium,LO,25_m_l,0.5436054873367487,0.005689589263307412,0.36121673003802285,0.005377237879745602,263.0,263
mistral_medium,LO,25_m_w,0.5406215157793006,0.009386949018348759,0.35614702154626104,0.01593131190111096,263.0,263
