model,run,group,persona_code,token_f1,iou_f1,n_eval,missing,gt_total
gpt_oss_120b,r1,BO,25_m_b,0.6006930303605368,0.4752851711026616,263,0,263
gpt_oss_120b,r1,BO,25_m_l,0.5823376308265198,0.4714828897338403,263,0,263
gpt_oss_120b,r1,BO,25_m_w,0.5969481814822777,0.4790874524714829,263,0,263
gpt_oss_120b,r1,BO,25_f_b,0.592642167247813,0.4714828897338403,263,0,263
gpt_oss_120b,r1,BO,25_f_l,0.5901434331890562,0.4752851711026616,263,0,263
gpt_oss_120b,r1,BO,25_f_w,0.6035139894718112,0.4866920152091255,263,0,263
gpt_oss_120b,r1,BO,45_m_b,0.5857687312293326,0.45627376425855515,263,0,263
gpt_oss_120b,r1,BO,45_m_l,0.5911198908659152,0.4600760456273764,263,0,263
gpt_oss_120b,r1,BO,45_m_w,0.6006401213247443,0.49809885931558934,263,0,263
gpt_oss_120b,r1,BO,45_f_b,0.5937418900253559,0.46387832699619774,263,0,263
gpt_oss_120b,r1,BO,45_f_l,0.6147908442532021,0.4866920152091255,263,0,263
gpt_oss_120b,r1,BO,45_f_w,0.5881803018560191,0.4790874524714829,263,0,263
gpt_oss_120b,r1,BY,25_m_b,0.5165131778393856,0.3916349809885932,263,0,263
gpt_oss_120b,r1,BY,25_m_l,0.5183319465189603,0.39543726235741444,263,0,263
gpt_oss_120b,r1,BY,25_m_w,0.5114632237430461,0.3840304182509506,263,0,263
gpt_oss_120b,r1,BY,25_f_b,0.5220015676065779,0.39923954372623577,263,0,263
gpt_oss_120b,r1,BY,25_f_l,0.5143965246768308,0.39923954372623577,263,0,263
gpt_oss_120b,r1,BY,25_f_w,0.5312106926700707,0.42585551330798477,263,0,263
gpt_oss_120b,r1,BY,45_m_b,0.5157193285392621,0.38783269961977185,263,0,263
gpt_oss_120b,r1,BY,45_m_l,0.5266194641536218,0.40304182509505704,263,0,263
gpt_oss_120b,r1,BY,45_m_w,0.5195124633887893,0.41064638783269963,263,0,263
gpt_oss_120b,r1,BY,45_f_b,0.5308192498311176,0.4068441064638783,263,0,263
gpt_oss_120b,r1,BY,45_f_l,0.5316187110901264,0.41825095057034223,263,0,263
