age,gender,ethnicity,persona_text
25,Male,African American,A 25-year-old African American Male
25,Male,Hispanic,A 25-year-old Hispanic Male
25,Male,Caucasian,A 25-year-old Caucasian Male
25,Female,African American,A 25-year-old African American Female
25,Female,Hispanic,A 25-year-old Hispanic Female
25,Female,Caucasian,A 25-year-old Caucasian Female
45,Male,African American,A 45-year-old African American Male
45,Male,Hispanic,A 45-year-old Hispanic Male
45,Male,Caucasian,A 45-year-old Caucasian Male
45,Female,African American,A 45-year-old African American Female
45,Female,Hispanic,A 45-year-old Hispanic Female
45,Female,Caucasian,A 45-year-old Caucasian Female
